item_canonical,canonical_norm,item_id_propose,label_fr_propose,item_code,taxo_l1,taxo_l3,score,confiance,nb_lignes,prix_moyen,annees,valider_oui_non
Fromage « La vache qui rit »,fromage vache rit,fromage_«_vache_qui_rit_»,Fromage « La vache qui rit »,LG-202603-000721,Alimentation,Fromage,1.0,AUTO,76,11800.881578947368,2023-2026,OUI
Fourchettes inox,fourchettes inox,fourchettes_inox,Fourchettes inox,LG-202603-000719,Construction,Inox,1.0,AUTO,75,2388.56,2023-2026,OUI
Huile 50 (essence),huile,huile_140_transmission,Huile 140 (transmission),LG-202603-000815,Alimentation,Huile,1.0,AUTO,68,10560.838235294117,2023-2026,OUI
Huile 50 diesel,huile diesel,huile_50_diesel,Huile 50 diesel,LG-202603-000816,Alimentation,Huile,1.0,AUTO,67,10228.58208955224,2023-2026,OUI
Tôlerie complet,tôlerie complet,tolerie_complet,Tôlerie complet,LG-202603-001411,Construction,Tole,1.0,AUTO,61,105991.80327868853,2023-2026,OUI
Couverture plastique,couverture plastique,couverture_plastique,Couverture plastique,LG-202603-000518,Art de la table,Couverts,1.0,AUTO,59,14662.813559322034,2023-2026,OUI
Entretien complet,entretien complet,entretien_complet,Entretien complet,LG-202603-000631,Services,Entretien,1.0,AUTO,59,46671.76271186441,2023-2026,OUI
Café cappuccino 70 grammes,café cappuccino grammes,cafe_cappuccino_70_grammes,Café cappuccino 70 grammes,LG-202603-000263,Alimentation,Cafe,1.0,AUTO,58,41272.96551724138,2023-2026,OUI
Savon liquide,savon liquide,savon_liquide,Savon liquide,LG-202603-001268,Sante et hygiene,Savon,1.0,AUTO,55,1094.3272727272727,2023-2026,OUI
Café Maxwell 200 grammes,café maxwell grammes,cafe_maxwell_100_grammes,Café Maxwell 100 grammes,LG-202603-000266,Alimentation,Cafe,1.0,AUTO,53,5334.2830188679245,2023-2026,OUI
Chips fritelé 80gr (Industriel),chips fritelé,chips_fritele_80gr_industriel,Chips fritelé 80gr (Industriel),LG-202603-000381,Alimentation,Chips,1.0,AUTO,53,9068.018867924528,2023-2026,OUI
Couverture pour reliure,couverture reliure,couverture_reliure,Couverture pour reliure,LG-202603-000519,Fournitures bureau,Reliure,1.0,AUTO,53,20784.867924528302,2023-2026,OUI
Fonio non décortiqué,fonio non décortiqué,fonio_non_decortique,Fonio non décortiqué,LG-202603-000714,Alimentation,Fonio,1.0,AUTO,53,21514.45283018868,2023-2026,OUI
Engrais urée (blanc),engrais urée,engrais_uree_blanc,Engrais urée (blanc),LG-202603-000629,Agriculture,Engrais,1.0,AUTO,51,40153.76470588235,2023-2026,OUI
Biscuits >,biscuits,biscuits_>,Biscuits >,LG-202603-000155,Alimentation,Biscuits,1.0,AUTO,49,19117.102040816328,2023-2024,OUI
Café Maxwell 100 grammes,café maxwell grammes,cafe_maxwell_100_grammes,Café Maxwell 100 grammes,LG-202603-000266,Alimentation,Cafe,1.0,AUTO,47,3849.340425531915,2023-2026,OUI
Chips banane plantin (local),chips banane plantin,chips_banane_plantin,Chips banane plantin (local),LG-202603-000380,Alimentation,Chips,1.0,AUTO,44,855.0227272727273,2023-2026,OUI
Liquide Refroidissant,liquide refroidissant,liquide_refroidissant,Liquide Refroidissant,LG-202603-000974,,,1.0,AUTO,44,4301.613636363636,2023-2026,OUI
Pélure fine beige 32 gr,pélure fine beige,pelure_fine_beige_32_gr,Pélure fine beige 32 gr,LG-202603-001129,,,1.0,AUTO,44,7941.886363636364,2023-2026,OUI
Post-it PF,post,post-it_mf,Post-it MF,LG-202603-001190,,,1.0,AUTO,44,7605.590909090909,2023-2026,OUI
Gravier du fleuve,gravier fleuve,gravier_fleuve,Gravier du fleuve,LG-202603-000798,Construction,Gravier,1.0,AUTO,43,96930.27906976744,2023-2026,OUI
Marqueur toutes couleurs,marqueur toutes couleurs,marqueur_toutes_couleurs,Marqueur toutes couleurs,LG-202603-001000,Fournitures bureau,Marqueur,1.0,AUTO,43,3184.6279069767443,2024-2026,OUI
Verre à boire ordinaire Duralux 6 unités,verre boire ordinaire duralux unités,verre_boire_duralux_6_unites,Verre à boire ordinaire Duralux 6 unités,LG-202603-001436,Construction,Verre,1.0,AUTO,43,6597.837209302325,2023-2026,OUI
Fonio décortiqué,fonio décortiqué,fonio_decortique,Fonio décortiqué,LG-202603-000712,Alimentation,Fonio,1.0,AUTO,42,33648.28571428572,2024-2026,OUI
Pelure fine blanc 32gr,pelure fine blanc,pelure_fine_blanc_32gr,Pelure fine blanc 32gr,LG-202603-001130,,,1.0,AUTO,41,8110.926829268293,2023-2026,OUI
Boisson ivorio 24 unités dans le carton,boisson ivorio unités carton,boisson_ivorio_24_unites_dans_carton,Boisson ivorio 24 unités dans le carton,LG-202603-000194,Alimentation,Boisson,1.0,AUTO,40,10831.7,2023-2026,OUI
Chemises fines,chemises fines,chemises_fines,Chemises fines,LG-202603-000374,Textile,Chemise,1.0,AUTO,40,3033.45,2026-2026,OUI
Coca cola,coca cola,coca_cola,Coca cola,LG-202603-000410,Alimentation,Coca,1.0,AUTO,40,9463.05,2023-2026,OUI
Craie Robert Color,craie robert color,craie_robert_color,Craie Robert Color,LG-202603-000524,Fournitures bureau,Craie,1.0,AUTO,40,2210.0,2023-2026,OUI
Cuillères à soupe,cuillères soupe,cuilleres_soupe,Cuillères à soupe,LG-202603-000534,Art de la table,Cuillere,1.0,AUTO,40,4877.0,2023-2026,OUI
"Eau DIAGO 1,5 litre",eau diago,eau_diago_0.33_litre,"Eau DIAGO 0,33 litre",LG-202603-000559,Divers,Litres,1.0,AUTO,40,4039.175,2023-2026,OUI
Farine sac de 50 kg,farine,farine_sac_50kg,Farine sac de 50 kg,LG-202603-000659,Alimentation,Farine,1.0,AUTO,40,25287.8,2023-2026,OUI
Gravier de carrière(concassé 15/25:5/15),gravier carrière,gravier_carriere_concasse_15_25_5_15,Gravier de carrière(concassé 15/25:5/15),LG-202603-000797,Construction,Gravier,1.0,AUTO,40,137264.925,2023-2026,OUI
"Huile d'arachide ou de coton, en vrac",huile arachide coton vrac,"huile_arachide_coton,_vrac","Huile d'arachide ou de coton, en vrac",LG-202603-000818,Alimentation,Huile,1.0,AUTO,40,1158.5,2023-2026,OUI
Journal ESSOR,journal essor,abonnement_journal_essor,Abonnement au journal ESSOR,LG-202603-000008,Presse et abonnements,Journal,1.0,AUTO,40,34082.125,2026-2026,OUI
Jus coctkail d'ananas,jus coctkail ananas,jus_coctkail_ananas,Jus coctkail d'ananas,LG-202603-000885,Alimentation,Jus,1.0,AUTO,40,10097.775,2023-2026,OUI
Peinture noire 1 kg,peinture noire,peinture_noire_1kg,Peinture noire 1 kg,LG-202603-001116,Construction,Peinture,1.0,AUTO,40,3428.3,2023-2026,OUI
Peinture noire 3 kgs,peinture noire kgs,peinture_noire_3_kgs,Peinture noire 3 kgs,LG-202603-001120,Construction,Peinture,1.0,AUTO,40,6402.625,2023-2026,OUI
Pointe acier N°3,pointe acier,pointe_acier_n°10,Pointe acier N°10,LG-202603-001157,Construction,Acier,1.0,AUTO,40,1760.025,2023-2026,OUI
Pointe acier N°7,pointe acier,pointe_acier_n°10,Pointe acier N°10,LG-202603-001157,Construction,Acier,1.0,AUTO,40,1779.5,2023-2026,OUI
Pointe acier N°9,pointe acier,pointe_acier_n°10,Pointe acier N°10,LG-202603-001157,Construction,Acier,1.0,AUTO,40,1793.875,2023-2026,OUI
Pointe n° 2 (ordinaire),pointe,pointe_n°_2,Pointe n° 2 (ordinaire),LG-202603-001165,,,1.0,AUTO,40,1309.575,2023-2026,OUI
Poisson fumé,poisson fumé,poisson_fume,Poisson fumé,LG-202603-001178,Alimentation,Pois,1.0,AUTO,40,3819.25,2023-2026,OUI
Sardine 250 Grammes,sardine grammes,sardine_250_grammes,Sardine 250 Grammes,LG-202603-001265,Divers,Grammes,1.0,AUTO,40,16994.075,2023-2026,OUI
Bouillon cube Poulet,bouillon cube poulet,bouillon_cube_poulet,Bouillon cube Poulet,LG-202603-000216,Alimentation,Bouillon,1.0,AUTO,39,8179.358974358975,2023-2026,OUI
Craie blanche,craie blanche,craie_blanche,Craie blanche,LG-202603-000520,Fournitures bureau,Craie,1.0,AUTO,39,1771.4615384615386,2023-2026,OUI
Cuillères à café,cuillères café,cuilleres_cafe,Cuillères à café,LG-202603-000529,Alimentation,Cafe,1.0,AUTO,39,3181.948717948718,2023-2026,OUI
Engrais DAP sous forme de mil,engrais dap sous forme mil,engrais_dap_sous_forme_mil,Engrais DAP sous forme de mil,LG-202603-000614,Alimentation,Mil,1.0,AUTO,39,48875.25641025641,2023-2026,OUI
Huile de palme rouge,huile palme rouge,huile_palme_rouge,Huile de palme rouge,LG-202603-000842,Alimentation,Huile,1.0,AUTO,39,1373.3333333333333,2023-2026,OUI
Lait en poudre sac de 25 kg,lait poudre,lait_poudre_25kg,Lait en poudre sac 25kg,LG-202603-000945,Alimentation,Lait,1.0,AUTO,39,64217.02564102564,2023-2026,OUI
Peinture à l'huile boîte de 3 kgs (Saapec),peinture huile boîte kgs,peinture_l_huile_boite_3_kgs_saapec,Peinture à l'huile boîte de 3 kgs (Saapec),LG-202603-001114,Alimentation,Huile,1.0,AUTO,39,7376.7692307692305,2023-2026,OUI
Pointe acier N°4,pointe acier,pointe_acier_n°10,Pointe acier N°10,LG-202603-001157,Construction,Acier,1.0,AUTO,39,1721.3076923076924,2023-2026,OUI
Pointe acier N°5,pointe acier,pointe_acier_n°10,Pointe acier N°10,LG-202603-001157,Construction,Acier,1.0,AUTO,39,1707.3333333333333,2023-2026,OUI
Pointe acier N°6,pointe acier,pointe_acier_n°10,Pointe acier N°10,LG-202603-001157,Construction,Acier,1.0,AUTO,39,1713.4871794871794,2023-2026,OUI
Pointe acier N°8,pointe acier,pointe_acier_n°10,Pointe acier N°10,LG-202603-001157,Construction,Acier,1.0,AUTO,39,1786.2307692307693,2023-2026,OUI
Pointe N°10 (ordinaire),pointe,pointe_n°_2,Pointe n° 2 (ordinaire),LG-202603-001165,,,1.0,AUTO,39,1289.3846153846155,2023-2026,OUI
Pointe N° 3 (ordinaire),pointe,pointe_n°_2,Pointe n° 2 (ordinaire),LG-202603-001165,,,1.0,AUTO,39,1277.948717948718,2023-2026,OUI
Pointe n° 4 (ordinaire),pointe,pointe_n°_2,Pointe n° 2 (ordinaire),LG-202603-001165,,,1.0,AUTO,39,1258.8461538461538,2023-2026,OUI
Pointe n° 5 (ordinaire),pointe,pointe_n°_2,Pointe n° 2 (ordinaire),LG-202603-001165,,,1.0,AUTO,39,1210.923076923077,2023-2026,OUI
Pointe n° 6 (ordinaire),pointe,pointe_n°_2,Pointe n° 2 (ordinaire),LG-202603-001165,,,1.0,AUTO,39,1215.1025641025642,2023-2026,OUI
Pointe N° 7 (ordinaire),pointe,pointe_n°_2,Pointe n° 2 (ordinaire),LG-202603-001165,,,1.0,AUTO,39,1251.6410256410256,2023-2026,OUI
